               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.058805,            0.089343,           0.0032831,             0.46191,             0.65302,             0.49071,             0.16088,            0.057641,            0.078136,            0.001234,            0.008218,            0.008218,            0.008218
                  56,            0.065113,            0.087093,           0.0031291,             0.36725,             0.51613,             0.42813,             0.12215,            0.068333,            0.075922,           0.0014789,            0.008185,            0.008185,            0.008185
                  57,            0.061185,            0.089765,           0.0032985,             0.59973,             0.68202,             0.62036,             0.22638,            0.054271,            0.081126,           0.0014531,            0.008152,            0.008152,            0.008152
                  58,            0.063103,            0.095219,           0.0028934,             0.38632,             0.58134,              0.5346,             0.18745,            0.067047,            0.078871,           0.0015576,            0.008119,            0.008119,            0.008119
                  59,            0.058883,            0.091509,           0.0030858,             0.54047,             0.61757,             0.58235,             0.21661,            0.055825,            0.082393,           0.0016505,            0.008086,            0.008086,            0.008086
                  60,            0.056273,            0.087715,           0.0026977,             0.51089,             0.61703,              0.5863,             0.18407,            0.057746,            0.081532,            0.001628,            0.008053,            0.008053,            0.008053
                  61,            0.059033,             0.08454,           0.0026411,             0.44216,             0.61895,              0.5494,             0.21792,             0.05759,             0.07978,           0.0014604,             0.00802,             0.00802,             0.00802
                  62,            0.059229,             0.08567,           0.0022559,             0.52267,             0.80724,              0.6155,             0.20288,            0.057428,            0.078501,           0.0017152,            0.007987,            0.007987,            0.007987
                  63,            0.056659,             0.08623,           0.0027855,             0.55935,              0.7514,             0.66794,             0.23698,            0.055872,            0.079579,           0.0012389,            0.007954,            0.007954,            0.007954
                  64,            0.057954,            0.089182,           0.0024167,             0.53693,             0.65244,             0.59119,             0.17377,            0.058164,            0.078998,           0.0012279,            0.007921,            0.007921,            0.007921
                  65,             0.05602,             0.09043,           0.0026124,             0.45536,             0.74708,             0.62748,              0.1788,            0.058987,             0.07974,           0.0013213,            0.007888,            0.007888,            0.007888
                  66,            0.057529,            0.078515,           0.0019808,             0.54258,             0.62658,             0.59099,             0.18526,            0.061293,            0.081547,           0.0015758,            0.007855,            0.007855,            0.007855
                  67,            0.055691,            0.086482,           0.0024398,             0.41273,             0.62026,              0.5599,             0.17805,            0.058481,            0.082633,           0.0016189,            0.007822,            0.007822,            0.007822
                  68,            0.056597,            0.084271,           0.0019684,             0.45469,             0.75419,             0.59294,             0.20924,            0.058323,            0.083799,           0.0013913,            0.007789,            0.007789,            0.007789
                  69,            0.053887,            0.087764,           0.0021864,             0.43117,             0.74972,             0.58154,             0.22088,            0.055925,            0.082218,           0.0011461,            0.007756,            0.007756,            0.007756
                  70,            0.055127,            0.091821,           0.0021116,             0.42088,             0.65599,             0.57359,             0.19436,            0.057503,            0.082434,           0.0011609,            0.007723,            0.007723,            0.007723
                  71,            0.052266,            0.089663,           0.0023296,             0.55046,             0.70476,             0.63601,             0.20182,            0.054167,            0.081876,           0.0010179,             0.00769,             0.00769,             0.00769
                  72,            0.055144,            0.089086,           0.0022354,             0.53943,             0.55196,             0.56735,             0.17195,            0.056362,            0.081889,           0.0010175,            0.007657,            0.007657,            0.007657
                  73,            0.052539,             0.08616,           0.0021792,              0.6099,             0.65574,             0.64981,             0.21853,            0.056481,            0.083557,           0.0011125,            0.007624,            0.007624,            0.007624
                  74,            0.055646,            0.086457,           0.0019879,             0.54802,             0.62442,             0.55766,             0.17391,            0.057413,            0.084882,           0.0012918,            0.007591,            0.007591,            0.007591
                  75,            0.055889,            0.083541,           0.0024906,             0.62585,              0.6631,             0.62142,             0.19588,            0.054983,            0.082027,           0.0011609,            0.007558,            0.007558,            0.007558
                  76,            0.055409,            0.096628,           0.0023589,             0.53642,             0.61832,             0.55853,             0.15978,            0.055678,            0.081631,           0.0011454,            0.007525,            0.007525,            0.007525
                  77,            0.052381,            0.088169,           0.0020845,              0.6185,             0.66001,             0.62307,             0.19224,            0.054142,             0.08137,           0.0011421,            0.007492,            0.007492,            0.007492
                  78,            0.054794,            0.090874,           0.0020531,               0.479,             0.60447,             0.57191,             0.18446,            0.055669,            0.080793,           0.0010669,            0.007459,            0.007459,            0.007459
                  79,            0.051709,            0.080806,           0.0020292,             0.62311,             0.60737,             0.58668,             0.16903,            0.057413,            0.081274,           0.0010579,            0.007426,            0.007426,            0.007426
                  80,            0.056515,             0.08579,           0.0021908,             0.74346,             0.60095,             0.66118,             0.23353,            0.055674,            0.079075,           0.0010519,            0.007393,            0.007393,            0.007393
                  81,            0.052507,            0.089497,           0.0022103,             0.70157,             0.63119,             0.67127,             0.24756,            0.054621,            0.080111,           0.0010399,             0.00736,             0.00736,             0.00736
                  82,            0.054475,            0.090287,           0.0020907,             0.57051,             0.74529,             0.65001,             0.21879,             0.05485,            0.079753,          0.00099582,            0.007327,            0.007327,            0.007327
                  83,            0.054362,            0.090775,           0.0021052,             0.73581,             0.59781,             0.66943,             0.24401,            0.053981,            0.079379,           0.0010668,            0.007294,            0.007294,            0.007294
                  84,            0.051689,            0.091831,           0.0020796,              0.6076,             0.67035,             0.64195,             0.23666,            0.053475,            0.080615,           0.0010763,            0.007261,            0.007261,            0.007261
                  85,            0.050696,            0.093578,           0.0020168,              0.5596,             0.66124,             0.61188,              0.1999,            0.055172,            0.081397,          0.00094492,            0.007228,            0.007228,            0.007228
                  86,            0.053642,            0.088368,           0.0018427,             0.64803,             0.54654,             0.55953,             0.18713,            0.055301,            0.081758,          0.00095992,            0.007195,            0.007195,            0.007195
                  87,            0.052543,            0.086216,           0.0018165,              0.5571,               0.589,              0.5889,             0.20693,            0.054844,            0.080403,          0.00089525,            0.007162,            0.007162,            0.007162
                  88,            0.051382,            0.080031,           0.0015958,             0.64445,             0.63522,             0.61679,             0.19444,            0.053973,              0.0813,          0.00088748,            0.007129,            0.007129,            0.007129
                  89,            0.051207,            0.088527,           0.0018961,             0.50339,             0.65484,             0.53847,             0.21442,            0.053995,            0.081996,          0.00092982,            0.007096,            0.007096,            0.007096
                  90,            0.053051,            0.082738,           0.0018525,             0.61239,             0.59178,             0.56125,             0.18788,            0.057615,            0.082741,           0.0010083,            0.007063,            0.007063,            0.007063
                  91,            0.052303,            0.089014,           0.0016646,             0.74818,             0.64266,             0.67357,             0.24986,            0.055791,             0.07903,          0.00096571,             0.00703,             0.00703,             0.00703
                  92,             0.05339,            0.085962,            0.001828,             0.77678,             0.62377,             0.64613,             0.22704,            0.053675,            0.080874,           0.0010179,            0.006997,            0.006997,            0.006997
                  93,            0.050444,            0.089805,           0.0019107,             0.68133,             0.61201,             0.64183,             0.23709,            0.055503,            0.080429,           0.0011253,            0.006964,            0.006964,            0.006964
                  94,            0.051644,            0.092823,           0.0018407,             0.68032,             0.63304,             0.64771,             0.21523,            0.053347,            0.081542,           0.0011331,            0.006931,            0.006931,            0.006931
                  95,            0.050537,            0.089577,           0.0019284,             0.74997,             0.57711,             0.64227,             0.21988,            0.055657,              0.0809,           0.0010731,            0.006898,            0.006898,            0.006898
                  96,            0.054154,            0.085908,           0.0018286,             0.59037,             0.58186,              0.5421,             0.16788,            0.057785,            0.080777,           0.0012631,            0.006865,            0.006865,            0.006865
                  97,            0.052323,            0.088093,           0.0018172,             0.69274,             0.59033,             0.59628,             0.22187,            0.055088,             0.08131,            0.001201,            0.006832,            0.006832,            0.006832
                  98,             0.05296,            0.080372,           0.0017779,             0.69328,             0.60686,             0.59676,             0.16945,            0.057199,            0.081403,           0.0013426,            0.006799,            0.006799,            0.006799
                  99,            0.050195,            0.079613,           0.0015967,             0.70181,             0.61026,             0.64581,             0.20047,            0.053887,            0.082844,           0.0013588,            0.006766,            0.006766,            0.006766
                 100,            0.049625,            0.089582,           0.0018262,             0.60771,             0.71771,             0.65451,             0.20109,            0.053328,             0.08386,           0.0012506,            0.006733,            0.006733,            0.006733
                 101,            0.048082,            0.083984,           0.0016843,             0.64866,             0.66863,             0.64087,             0.20104,            0.054879,            0.084396,            0.001276,              0.0067,              0.0067,              0.0067
                 102,            0.050813,            0.089546,           0.0018568,             0.64981,             0.62344,             0.60564,             0.19249,             0.05319,            0.086446,           0.0013345,            0.006667,            0.006667,            0.006667
                 103,            0.049691,            0.090451,           0.0015882,             0.54985,             0.60935,             0.57316,             0.17825,            0.056853,            0.086384,           0.0012595,            0.006634,            0.006634,            0.006634
                 104,            0.050871,            0.085354,           0.0016633,             0.50459,             0.75873,             0.59665,              0.1924,            0.053022,            0.089729,           0.0012159,            0.006601,            0.006601,            0.006601
                 105,            0.049336,            0.084968,           0.0016518,             0.49378,             0.61899,              0.5384,             0.18914,            0.056471,            0.083938,           0.0011264,            0.006568,            0.006568,            0.006568
                 106,             0.04831,            0.085062,           0.0015567,             0.55019,             0.69866,             0.59762,             0.18004,            0.053432,            0.083749,           0.0010186,            0.006535,            0.006535,            0.006535
                 107,            0.049014,            0.093946,            0.001662,             0.49436,             0.69004,             0.54989,             0.18321,            0.057658,            0.083627,           0.0010434,            0.006502,            0.006502,            0.006502
                 108,            0.051795,            0.085266,           0.0015475,              0.6286,             0.63308,             0.62542,             0.17734,            0.054113,            0.084803,           0.0010213,            0.006469,            0.006469,            0.006469
                 109,            0.051349,            0.084807,           0.0016894,             0.64729,             0.54483,             0.55382,             0.16987,            0.057723,             0.08157,           0.0010377,            0.006436,            0.006436,            0.006436
                 110,            0.047931,            0.087716,            0.001689,             0.68427,             0.51581,             0.54966,              0.1835,             0.05445,             0.08361,            0.001006,            0.006403,            0.006403,            0.006403
                 111,            0.045886,            0.086852,           0.0014911,             0.58254,             0.66943,             0.59036,             0.18915,            0.054243,            0.081811,           0.0010268,             0.00637,             0.00637,             0.00637
                 112,            0.047905,            0.097694,           0.0015685,             0.64934,             0.60264,             0.56851,             0.18007,            0.054548,            0.084034,           0.0011285,            0.006337,            0.006337,            0.006337
                 113,            0.047154,            0.084666,           0.0014646,             0.59372,             0.77946,             0.64497,             0.18556,            0.056247,            0.081073,           0.0012425,            0.006304,            0.006304,            0.006304
                 114,            0.049387,            0.080561,            0.001606,             0.67606,             0.73747,             0.66027,             0.21868,            0.053945,            0.082303,           0.0012386,            0.006271,            0.006271,            0.006271
                 115,            0.049419,            0.088625,           0.0015013,             0.61323,             0.70338,             0.61738,             0.20391,            0.055856,            0.082558,           0.0012032,            0.006238,            0.006238,            0.006238
                 116,            0.049021,            0.087604,           0.0014161,             0.68348,              0.6509,             0.64125,             0.23542,            0.053609,            0.085081,           0.0011274,            0.006205,            0.006205,            0.006205
                 117,            0.046483,            0.090365,           0.0015585,              0.6603,             0.54927,             0.58764,             0.19113,            0.056422,            0.087121,           0.0010476,            0.006172,            0.006172,            0.006172
                 118,            0.049401,            0.089246,           0.0017672,             0.60656,             0.69549,             0.61281,             0.21774,            0.055621,            0.087957,           0.0010003,            0.006139,            0.006139,            0.006139
                 119,            0.048322,            0.085083,           0.0013792,             0.62905,             0.61355,             0.60803,             0.20162,            0.055061,            0.086131,          0.00089118,            0.006106,            0.006106,            0.006106
                 120,            0.047102,            0.090631,           0.0013262,             0.52041,             0.66046,             0.60558,             0.20344,            0.055274,            0.086991,          0.00084038,            0.006073,            0.006073,            0.006073
                 121,            0.046424,             0.08631,            0.001323,             0.56811,             0.54702,             0.54795,              0.1574,            0.057351,            0.085086,           0.0007662,             0.00604,             0.00604,             0.00604
                 122,            0.049514,            0.084216,           0.0014881,             0.59076,              0.6303,             0.57378,              0.1923,            0.056061,            0.087682,          0.00075578,            0.006007,            0.006007,            0.006007
                 123,            0.045592,            0.080337,           0.0015623,             0.48851,             0.69732,             0.57287,             0.20077,            0.056097,            0.085654,          0.00075985,            0.005974,            0.005974,            0.005974
                 124,            0.048799,            0.091147,           0.0017859,             0.57835,             0.61103,             0.57648,             0.18916,            0.054854,            0.086952,          0.00079407,            0.005941,            0.005941,            0.005941
                 125,            0.046383,            0.084243,           0.0017272,             0.59109,             0.68406,             0.62707,             0.19421,            0.055218,            0.086106,           0.0008326,            0.005908,            0.005908,            0.005908
                 126,            0.047166,            0.087817,           0.0013968,             0.57733,             0.63601,             0.59951,             0.18468,            0.055254,            0.085012,          0.00078997,            0.005875,            0.005875,            0.005875
                 127,            0.045951,            0.082767,           0.0013329,             0.59818,             0.74699,             0.64992,              0.2107,            0.053899,            0.083967,          0.00083965,            0.005842,            0.005842,            0.005842
                 128,            0.046176,            0.088965,           0.0016017,             0.56483,             0.72456,             0.63187,              0.1989,             0.05452,             0.08394,          0.00086058,            0.005809,            0.005809,            0.005809
                 129,            0.045644,            0.090421,           0.0015424,              0.5789,             0.67342,             0.61976,             0.19696,            0.054418,            0.085295,          0.00091337,            0.005776,            0.005776,            0.005776
                 130,            0.045932,             0.08594,           0.0017635,             0.56792,             0.71759,              0.6114,             0.18818,            0.055293,            0.086758,          0.00096741,            0.005743,            0.005743,            0.005743
                 131,               0.046,             0.08354,           0.0016212,              0.6013,             0.63701,             0.59769,             0.19619,             0.05636,            0.086647,          0.00095536,             0.00571,             0.00571,             0.00571
                 132,            0.049383,            0.083752,           0.0016267,             0.57194,             0.70403,             0.59719,             0.20594,            0.055022,            0.087009,          0.00093887,            0.005677,            0.005677,            0.005677
                 133,             0.04691,            0.078214,           0.0014206,             0.61967,             0.59598,             0.58184,             0.19691,             0.05739,            0.084425,          0.00092525,            0.005644,            0.005644,            0.005644
                 134,            0.047092,            0.082169,           0.0014709,             0.51435,             0.71803,             0.56312,             0.17241,            0.055256,            0.086776,          0.00092955,            0.005611,            0.005611,            0.005611
                 135,            0.046871,            0.080965,           0.0013195,             0.51651,             0.65283,             0.53911,              0.1922,             0.05828,            0.084127,          0.00086924,            0.005578,            0.005578,            0.005578
                 136,            0.050862,            0.079885,           0.0014037,             0.57516,             0.60079,               0.553,             0.18596,            0.055034,            0.084241,          0.00086854,            0.005545,            0.005545,            0.005545
                 137,             0.04781,            0.079249,           0.0015086,              0.5686,             0.65797,             0.57301,             0.17458,            0.056667,             0.08259,          0.00083574,            0.005512,            0.005512,            0.005512
